registry_id,primary_law,enf_outcome_code,self_disclosure_frequency,penalty_frequency,fed_penalty_assessed_amt,state_local_penalty_amt,sep_amt,compliance_action_cost,cost_recovery_awarded_amt,state,county,epa_region,lat,long,low_income_ratio,white_population_ratio,black_population_ratio,hispanic_population_ratio,asian_population_ratio,american_indian_population_ratio,air_pollutant_class_code,caasip,caamact,caansps,caatvp,caagactm,other,rad_wbd_huc12s,democrat,independent,libertarian,republican
110000502867.0,CWA,EUO,0.0,2,174250.0,0.0,0.0,10000.0,0.0,TX,CALHOUN,6.0,28.570964,-96.83341,0.1,0.07,0.0,0.01,0.0,0.0,MAJ,1.0,1.0,1.0,1.0,0.0,2.0,12,138.0,0.0,0.0,282.0
110000502885.0,CWA,EUO,0.0,1,0.0,0.0,0.0,3000.0,0.0,TX,KERR,6.0,30.025267,-99.111616,0.35,0.98,0.04,0.36,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000502983.0,CAA,ECP,0.0,1,3000.0,0.0,0.0,0.0,0.0,TX,TARRANT,6.0,32.80921,-97.12748,0.28,0.6,0.1,0.17,0.06,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000503508.0,CWA,,0.0,1,0.0,0.0,0.0,30000.0,0.0,TX,HARRIS,6.0,29.8015,-95.115167,0.38,0.5,0.14,0.52,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000503517.0,CWA,ESU,0.0,3,800.0,0.0,0.0,56000.0,0.0,TX,GALVESTON,6.0,29.35225,-94.983389,0.4,0.4,0.42,0.18,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,12,138.0,0.0,0.0,282.0
110000503642.0,RCRA,ECN,0.0,1,0.0,0.0,0.0,5000.0,0.0,TX,TRAVIS,6.0,30.279722,-97.652778,0.37,0.33,0.28,0.44,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000503697.0,CAA,ECP,0.0,1,2100.0,0.0,0.0,0.0,0.0,TX,TRAVIS,6.0,30.290833,-97.795278,0.17,0.79,0.01,0.08,0.06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000503857.0,CAA,ECP,0.0,1,57188.0,0.0,0.0,0.0,0.0,TX,BEXAR,6.0,29.410278,-98.511111,0.55,0.67,0.03,0.83,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000503928.0,CAA,ECP,0.0,1,3125000.0,0.0,0.0,0.0,0.0,TX,HOWARD,6.0,32.494444,-101.35222,0.3,0.23,0.0,0.14,0.0,0.0,MAJ,1.0,1.0,1.0,1.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000504044.0,CWA,EUO,0.0,1,0.0,0.0,0.0,10000000.0,0.0,TX,DENTON,6.0,33.196306,-97.072167,0.28,0.6,0.09,0.19,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000504062.0,CWA,EUO,0.0,1,0.0,0.0,0.0,20000.0,0.0,TX,BRAZORIA,6.0,29.573056,-95.260833,0.18,0.53,0.11,0.3,0.08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12,138.0,0.0,0.0,282.0
110000504179.0,CAA,ECP,0.0,1,4480.0,0.0,0.0,0.0,0.0,TX,HOWARD,6.0,32.243489,-101.453753,0.35,0.75,0.05,0.41,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
